吸	基本义	吸收	一个常见的汉字使用频率较高基本义为吸收。
清袁耀露台秋月图	横	142.5	清袁耀露台秋月图，纵183、横142.5厘米，胡佩衡旧藏，该画绘中秋宫苑赏月情景，一轮明月当空，万籁俱寂，宫殿在树木中或露或隐，山石玲珑剔透，诗情画意跃然纸上，此意趣决非一般画匠所能为。
溪边隐士图	横	75.1厘米	戴进的《溪边隐士图》（见右图），绢本，水墨淡彩，纵137.9厘米，横75.1厘米，现藏美国克利夫兰美术馆。
殊竹图	横	29．9厘米	《殊竹图》是中国明代画家孙克弘的国画作品。该画为立轴，纸本设色，纵61．7厘米，横29．9厘米，台北故宫博物院藏。
水村图卷	横	120.5cm	《水村图卷》是元代画家赵孟頫的国画作品。此画现藏于故宫博物院，纸本，水墨，纵24.9cm，横120.5cm。
温其球莲花峰	横	46.4厘米	温其球莲花峰，纸本，纵36.1厘米、横46.4厘米。
绶带梅花长方花盆图样	横	122.5cm	《绶带梅花长方花盆图样》,纸本，墨笔，纵35cm，横122.5cm。
柘溪草堂图	横	79.8厘米	《柘溪草堂图》是中国清代国画吴宏的国画作品。该画为立轴，绢本设色，纵160.8厘米，横79.8厘米，现藏于南京博物馆。
白雪高风图	横	150．5厘米	《白雪高风图》是中国明代画家江必名的国画作品。该画为立轴，纸本，墨笔，纵299．6厘米，横150．5厘米，苏州市博物馆藏。
湖亭秋兴图	横	102厘米	《湖亭秋兴图》是中国清代画家黄慎的国画作品。该画为立轴，纸本设色，纵181厘米，横102厘米，现藏于南京博物馆黄慎，中国清代画家。
溪山楼阁图	横	20厘米	《溪山楼阁图》是中国清代画家刘度的国画作品。该画为册页，绢，设色，纵27厘米，横20厘米。
脚气帖	横	21.7厘米	《脚气帖》尺牍，约1060年，纸本，行草书，纵26.9厘米，横21.7厘米。
秋风扇图纨图	横	39.3厘米	秋风扇图纨图由明唐寅所作的纸本水墨，目前由上海博物馆藏，纵77.1厘米横39.3厘米，画家用遒劲飞舞的线条，表现了生动的形象，刻画了一位体态丰盈，举止安详，头部勾勒精工的富贵人家之少妇。
清陈鸿寿山水	横	36厘米	清陈鸿寿山水为清陈鸿寿的“山水”，纸本，纵44厘米，横36厘米。
牡丹兰桂花葫芦形瓶图样	横	35.5cm	《牡丹兰桂花葫芦形瓶图样》，纸本，设色，纵53.5cm，横35.5cm。
香满蒲塘图	横	47.5厘米	《香满蒲塘图》是中国清代画家胡公寿的国画作品。该画为立轴，纸本，设色，纵178.9厘米，横47.5厘米，上海博物馆藏。
高颈双耳活环花鸟花瓶图样	横	24.9cm	《高颈双耳活环花鸟花瓶图样》，纸本，设色，纵45.0cm，横24.9cm。
雪窗仕女图	横	62.5厘米	《雪窗仕女图》（清代叶道本）绢本，设色，纵121厘米，横62.5厘米。
雪景山水册页	横	31.8厘米	《雪景山水册页》是中国清代画家石涛的国画作品。该册页为纸本，墨淡色，纵48厘米，横31.8厘米，现流落于（美）堪萨斯市纳尔逊·艾京斯艺术博物馆。
葵花六角花盆图样	横	73.5cm	《葵花六角花盆图样》，纸本，设色，纵37.5cm，横73.5cm。
陛见帖	横	四零·八厘米	《陛见帖》，行书，纸本，纵二九·七厘米，横四零·八厘米。
芦雁图轴	横	50厘米	《芦雁图轴》有二，其一作者为清代李因，绫本水墨，纵149.5厘米，横50厘米，藏于上海博物馆。
西风木落图	横	43厘米	此为明谢时臣的“西风木落图”。纸本立轴。纵126厘米，横43厘米。
蛤蟆仙人图	横	70厘米	《蛤蟆仙人图》是中国清代画家闵贞的国画作品。该画为立轴，纸本设色，纵180．1厘米，横70厘米，现流落于日本民间。
长松羽士图	横	56厘米	《长松羽士图》该画尺寸，纵114厘米、横56厘米，纸本，墨笔绘成。
花阴犬吠图	横	37．8厘米	《花阴犬吠图》是中国清代画家任预的国画作品。该画为条屏，纸本，纵142．8厘米，横37．8厘米，南京博物院藏。
送四十九侄诗帖	横	130.3厘米	黄庭坚《送四十九侄诗帖》纸本，行楷书，纵35.2厘米，横130.3厘米，凡13行，每行4字，其中3行为两字，共46字。
霜柯竹石图	横	30．7厘米	《霜柯竹石图》是中国明代画家文徵明的国画作品。该画为立轴，纸本墨笔，纵76．9厘米，横30．7厘米，上海博物馆藏。
达摩图	横	53.1厘米	《达摩图》山中国明代画家吴彬第国画作品。该画为立轴，绢本，没色，纵118.8厘米，横53.1厘米，北京故宫博物院藏。
山谷雅居图	纵	28.3厘米	《山谷雅居图》是中国清代画家普荷的国画作品。该画为册页，洒金笺，纸本，水墨，纵28.3厘米，横28.6厘米，四川省博物馆藏。
松溪论画图	纵	60厘米	《松溪论画图》作者：仇英《松溪论画图》是中国明代画家仇英的国画作品。该画为绢本设色，纵60厘米，横105厘米，吉林省博物馆藏。
清奚冈华岳题名记	纵	26.5厘米	清奚冈华岳题名记，16页，纸本，纵26.5厘米、横18.5厘米。
高士观瀑图	纵	178厘米	【名称】明钟钦礼高士观瀑图【简介】立轴，绢木，水墨，淡设色，纵178厘米，横104厘米。
最新大中华帝国道县形势全图	纵	26厘米	这本图册为土黄色素皮封面，每页纸本纵26厘米，横18厘米，图册为手写手绘，套色石印。其中有98幅图页，每幅图页上方均注明了该幅地图的行政区划名称，封底内页写有“中华洪宪元年元月二十六日”等字样，“最新大中华帝国道县形势全图”“北京同伦学社印行”等字样。
平定西域献俘礼图	纵	42厘米	平定西域献俘礼图：手卷。为设色纸本，纵42厘米，横1800厘米。
寿桃鹦鹉花盆图样	纵	44.6cm	《寿桃鹦鹉花盆图样》，纸本，设色，纵44.6cm，横136.8cm。
秋瓜图	纵	63.1厘米	《秋瓜图》纸本设色纵63.1厘米横30厘米。
红绿梅花图	纵	138厘米	《红绿梅花图》是中国清代画家金农的国画作品。该画为立轴，绢本，设色，纵138厘米，横65.5厘米，上海博物馆藏。
干呕帖	纵	14.1厘米	《干呕帖》，又名《如常帖》、《昨还帖》。纵14.1厘米，横26.4厘米，共4行36个字，五代至北宋时期的临摹本。
松壑云泉图	纵	141厘米	《松壑云泉图》是中国明代画家宋旭的国画作品。该画为立轴，绢本设色，纵141厘米，横63厘米，山东省博物馆藏。
溪桥深翠图	纵	31.5厘米	《溪桥深翠图》是中国清代画家方琮的国画作品。该画为长卷，纸本设色，纵31.5厘米，横135厘米，收藏于广东省博物馆。
幽居图	纵	27厘米	《幽居图》纸本，纵27厘米，横115.9厘米，青绿设色。
清闷阁墨竹图	纵	132.8厘米	《清闷阁墨竹图》是中国元代画家柯九思的国画作品。该画为立轴，纸本，墨笔，纵132.8厘米，横58.5厘米，北京故宫博物院藏。
骷髅幻戏图页	纵	27厘米	《骷髅幻戏图页》是中国南宋画家李嵩的国画作品。该画现藏于故宫博物院，绢本设色，纵27厘米，横26.3厘米。
游骑图	纵	22.7厘米	《游骑图》，唐，佚名，绢本设色，纵22.7厘米，横94.8厘米。
牡丹芙蓉花鱼缸图样	纵	45.8cm	《牡丹芙蓉花鱼缸图样》，纸本，设色，纵45.8cm，横70.3cm。
寒塘凫侣图页	纵	16.6cm	南宋寒塘凫侣图页绢本，设色，纵16.6cm，横20.8cm。
春夜宴桃李园图甲	纵	17．5厘米	《春夜宴桃李园图甲》是中国明代画家盛茂烨的国画作品。该画为扇面，纸本，水墨，淡设色，纵17．5厘米，横55厘米，现流落于日本民间。
寒岩积雪	纵	130厘米	此为明蓝瑛的“寒岩积雪”。纸本，立轴，纵130厘米，横62厘米。
门屏帖	纵	27.8厘米	《门屏帖》尺牍，纸本，纵27.8厘米，横16厘米。
立马图	纵	47.3cm	《立马图》轴，清道光，奕詝绘，纸本，设色，纵47.3cm，横23.4cm。
深山访友图	纵	206．3厘米	《深山访友图》是中国明代画家王世昌的国画作品。该画为立轴绢本，水墨淡设色，纵206．3厘米，横114．5厘米，现流落于（美）耶鲁大学美术馆藏。
清杨守敬行书中堂	纵	244厘米	清杨守敬行书中堂轴纸本，纵244厘米、横117厘米，藏湖北省博物馆藏。
高士观景图	纵	34．5厘米	《高士观景图》是中国明代画家文嘉的国画作品，描写了一高士于舟中仰观云山景色的情景，册页纸本，墨笔，纵34．5厘米，横41．5厘米，现藏于广东省博物馆。
梅花圆花盆图样	纵	40cm	《梅花圆花盆图样》，纸本，设色，纵40cm，横27.8cm。
幽亭老树图	纵	131．6厘米	《幽亭老树图》是中国明代画家程嘉燧的国画作品。该画为立轴，纸本墨笔，纵131．6厘米，横272厘米，北京故宫博物院藏。
牧牛图	纵	60厘米	《牧牛图》，北朝佚名壁画，纵60厘米，横33厘米。《牧牛图》画面用勾线法，线条质朴、沉着、劲健，色彩平涂。《牧牛图》也是重庆市大足县宝顶山石刻中的一组著名石刻图。
西湖图卷	纵	26.7厘米	《西湖图卷》是中国宋代画家李嵩的国画作品。该画纸本墨笔纵26.7厘米、横85厘米。
设色牡丹草虫图轴	纵	110.9厘米	清居廉《设色牡丹草虫图轴》，绢本，纵110.9厘米，横42.1厘米。
明董其昌青弁图	纵	225厘米	明董其昌青弁图立：轴，纸本，水墨，纵225厘米，横66．88厘米。
缂丝凤穿牡丹图	纵	66.8厘米	缂丝凤穿牡丹图宋纵66.8厘米宽36.7厘米画面采用图案式体裁，富有装饰意趣。
清董邦达仿元人小景图轴	纵	49厘米	清董邦达仿元人小景图轴，此轴画于金笺上，纵49厘米、横31厘米，上海人民美术出版社藏。
浅绛山水图	纵	125厘米	此轴为黄宾虹的“浅绛山水图”，设色纸本，纵125厘米，横31厘米，藏于西泠印社。
童子牧牛图	纵	60厘米	此为李可染的“童子牧牛图”。纸本，立轴，纵60厘米，横37厘米。
幽谷村落图	纵	13．1厘米	《幽谷村落图》是中国清代画家樊圻的国画作品。该画绢本设色，纵13．1厘米，横22．1厘米，上海博物馆藏。
幽兰图	纵	110.3厘米	《幽兰图》是中国明代画家杜大绶的国画作品。该画为纸本设色，纵110.3厘米，横30.8厘米，南京博物馆藏。
潇湘卧游图卷	纵	30.2厘米	《潇湘卧游图》，纸本墨笔，纵30.2厘米，横399.4厘米，卷首有乾隆皇帝御题“气吞云梦”四字。乾隆帝又于卷中两处分别题有一跋一诗，题咏不足，又在卷尾画了一丛竹子并有款识。《潇湘卧游图卷》的价值甚至在《溪山行旅图》和《富春山居图》之上。
洒线绣蜀葵荷花五毒纹经皮面	纵	30cm	洒线绣蜀葵荷花五毒纹经皮面，明，纵30cm，横27cm。
溪桥幽兴图	纵	63．3厘米	《溪桥幽兴图》是中国画家方从义的国画作品。该画为立轴，纸本墨笔纵63．3厘米，横35厘米，北京故宫博物院藏。
校官碑	纵	148厘米	全称《汉溧阳长潘乾校官碑》，碑额题为《校官之碑》，简称《校官碑》或《潘乾碑》。纵148厘米，横76厘米，厚22．5厘米，16行，行27字。
碧桃春鸟图	纵	110.3厘米	《碧桃春鸟图》是中国明代画家凌必正的国画作品。该画为立轴绢本设色，纵110.3厘米，横53.3厘米，上海博物馆藏。
晴川揽胜图	纵	112厘米	此为清恽寿平的《晴川揽胜图》，绫本设色，纵112厘米，横39．1厘米，现藏辽宁省博物馆。
行书题刘松岚明府湘花图卷诗轴	纵	129厘米	清王文治行书题刘松岚明府湘花图卷诗轴纸本纵129厘米横44.4厘米。
清中期牙雕三阳开泰图插	纵	46.6厘米	这件清中期牙雕三阳开泰图插屏，通高60厘米，屏心纵46.6厘米，横33.8厘米。
水竹图	纵	87．1厘米	《水竹图》是中国元代画家管道升的国画作品。该画为立轴，纸本墨笔，纵87．1厘米，横28．7厘米，中国台北故宫博物院藏。
骏骨图	纵	29.9厘米	《骏骨图》是中国宋代画家龚开的国画作品。该画纵29.9厘米，横56.9厘米，现流落于日本大阪市立美术馆。
洞庭东山图	纵	61.9厘米	洞庭东山图，元代赵孟頫作品，绢本，设色纵61.9厘米，横27.6厘米。
重林复嶂图	纵	91.3厘米	《重林复嶂图》是中国清代画家王昱的国画作品。该画为立轴，纸本设色，纵91.3厘米，横51.8厘米，现藏于上海博物馆。
水仙茶梅图	纵	118.3厘米	《水仙茶梅图》是中国清代画家姜泓的国画作品。该画为立轴，绢本，设色，纵118.3厘米，横42.9厘米，南京博物院藏。
曹悼公	姓	姬姓	曹悼公（？―公前515年)，姬姓，曹氏，名午，春秋时期曹国国君。
彩石溪	辖	桃花源	彩石溪景区位于泰山西麓，辖桃花峪、桃花源两个景区，面积1173公顷，森林覆盖率达85%以上，素有““泰山森林博物馆”、“泰山小江南”、“北方小九寨”之美誉，是泰山休闲观光胜地。
岳普湖镇	辖	3个村委会	岳普湖镇，位于岳普湖县县城周边，东、南（部分地区与县林场接壤）、西、北均在岳普湖乡范围内，辖5个社区、3个村委会。
朗公庙	辖	30个行政村	新乡县朗公庙镇位于新乡市南10公里，107国道“日月同辉”标志处，东邻关堤乡、古固寨镇，南与原阳县接壤，西毗七里营镇，北靠新乡市高新技术产业开发区。全镇51770人，61800亩耕地，总面积80.2平方公里，辖30个行政村，28个自然村。
航海西路街道	辖	密垌	航海西路街道位于河南省郑州市中原区西南城乡结合部。辖小岗刘、冯湾、段庄、道李、郭厂、石羊寺、闫垌、密垌、后河卢、李江沟10个行政村，32个自然村，62个村民小组。
黎博寨工作站	辖	19个行政村	黎博寨工作站位于临西县东南部，是著名的林果之乡、养殖大乡。总面积35.6平方公里。辖19个行政村，含19个自然村。
